old_vcf_name	new_vcf_name
Kal1_1_S47_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal1_1_S47_L002
Kal2_3_S45_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal2_3_S45_L002
Kal2_6_S43_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal2_6_S43_L002
Kal3_1_S41_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal3_1_S41_L002
Kal5_6_S39_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal5_6_S39_L002
Kal6_3_S37_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal6_3_S37_L002
Kal6_4_S35_L002_R1_001.fastq.gz.trimmed.fastq.sam	Kal6_4_S35_L002
Mad2_3_S33_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mad2_3_S33_L002
Mad2_6_S31_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mad2_6_S31_L002
Mad6_1_S29_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mad6_1_S29_L002
Mad6_4_S27_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mad6_4_S27_L002
Mil1_1_S25_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil1_1_S25_L002
Mil2_1_S23_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil2_1_S23_L002
Mil4_2_S21_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil4_2_S21_L002
Mil5_4_S19_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil5_4_S19_L002
Mil5_5_S17_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil5_5_S17_L002
Mil6_1_S15_L002_R1_001.fastq.gz.trimmed.fastq.sam	Mil6_1_S15_L002
Montezumas_S22_L002_R1_001.fastq.gz.trimmed.fastq.sam	Montezumas_S22_L002
SRR1664898.sam	SRR1664898.sam
SRR1665054.sam	SRR1665054.sam
SRR1665062.sam	SRR1665062.sam
SRR1665063.sam	SRR1665063.sam
SRR1665067.sam	SRR1665067.sam
SRR1665070.sam	SRR1665070.sam
SRR1665071.sam	SRR1665071.sam
SRR1665072.sam	SRR1665072.sam
SRR1746837.sam	SRR1746837.sam
SRR1751470.sam	SRR1751470.sam
SRR27183503.sam	SRR27183503.sam
SRR5406791.sam	SRR5406791.sam
SRR5412136.sam	SRR5412136.sam
SRR5412137.sam	SRR5412137.sam
SRR5803008.sam	SRR5803008.sam
SRR5803009.sam	SRR5803009.sam
SRR6179229.sam	SRR6179229.sam
SRR6179230.sam	SRR6179230.sam
SRR6179231.sam	SRR6179231.sam
SRR6179232.sam	SRR6179232.sam
SRR6179233.sam	SRR6179233.sam
SRR6179234.sam	SRR6179234.sam
SRR6179235.sam	SRR6179235.sam
SRR6179236.sam	SRR6179236.sam
SRR6179237.sam	SRR6179237.sam
SRR6179238.sam	SRR6179238.sam
SRR6179239.sam	SRR6179239.sam
SRR6179240.sam	SRR6179240.sam
SRR6179241.sam	SRR6179241.sam
SRR6179242.sam	SRR6179242.sam
SRR6179243.sam	SRR6179243.sam
SRR6179244.sam	SRR6179244.sam
SRR6179245.sam	SRR6179245.sam
SRR6179246.sam	SRR6179246.sam
SRR6179247.sam	SRR6179247.sam
SRR6179248.sam	SRR6179248.sam
SRR6179249.sam	SRR6179249.sam
SRR6179250.sam	SRR6179250.sam
SRR6179251.sam	SRR6179251.sam
SRR6179252.sam	SRR6179252.sam
SRR6179253.sam	SRR6179253.sam
SRR6382382.sam	SRR6382382.sam
SRR6382383.sam	SRR6382383.sam
SRR6382384.sam	SRR6382384.sam
SRR6382385.sam	SRR6382385.sam
SRR6382386.sam	SRR6382386.sam
SRR6382387.sam	SRR6382387.sam
SRR6382388.sam	SRR6382388.sam
SRR6382389.sam	SRR6382389.sam
SRR6382390.sam	SRR6382390.sam
SRR6382391.sam	SRR6382391.sam
SRR6382392.sam	SRR6382392.sam
SRR6382393.sam	SRR6382393.sam
SRR6382394.sam	SRR6382394.sam
SRR6382395.sam	SRR6382395.sam
SRR6382396.sam	SRR6382396.sam
SRR6382397.sam	SRR6382397.sam
SRR6382398.sam	SRR6382398.sam
SRR6382399.sam	SRR6382399.sam
SRR6382400.sam	SRR6382400.sam
SRR6382401.sam	SRR6382401.sam
SRR6382402.sam	SRR6382402.sam
SRR8904462.sam	SRR8904462.sam
SRR8904463.sam	SRR8904463.sam
SRR8904464.sam	SRR8904464.sam
SRR8904465.sam	SRR8904465.sam
SRR8904466.sam	SRR8904466.sam
